dataset_name,seed,baseline_run_id,baseline_runtime_sec,baseline_full_mse,baseline_full_mae,baseline_equation,baseline_complexity,curriculum_run_id,curriculum_runtime_sec,curriculum_full_mse,curriculum_full_mae,curriculum_equation,curriculum_complexity,runtime_speedup,mse_ratio,better_mse,faster_method
I.12.1,0,I.12_seed0,287.7064840570092,1.4098226275270464e-32,3.22901705374079e-17,x0*1.0,3.0,I.12_seed0,303.78694519610144,1.4098226275270464e-32,3.22901705374079e-17,x0*1.0,3.0,0.9470666485397787,1.0,curriculum,baseline
I.16.6,0,I.16_seed0,314.8573555126786,0.0056456888674621,0.0569711189510835,sin(sqrt(x0 + x1)),21.0,I.16_seed0,344.93161126598716,0.0033728663918456,0.0446259018488868,1.0570061271692311*exp(-log(x0*x1)**2)**(1/8),27.0,0.9128109608657544,1.6738548793724477,curriculum,baseline
I.18.4,0,I.18_seed0,319.3403958417475,0.0133540501293768,0.0650734724187954,(x1 + 0.9979651940608022)*0.5004806296006478,16.0,I.18_seed0,424.8476659131702,0.0047470758120868,0.0482861645375471,1.8378642312300424*sqrt(-x1/(-sin(2.0665613635370091*sqrt(x0*(-x1 - 0.2472202518242405)/(sin(1.0974302609796085*x0) - 2.57493042975036))) - 2.57493042975036)),26.0,0.7516585860377868,2.813110777665546,curriculum,baseline
I.27.6,0,I.27_seed0,553.3682365454733,0.0003772532282754,0.0142139028467346,(0.07657402669114882*x0 - 0.06628836938476875*x1 + sin(sin(sin(sin(sqrt(x0))))) + 0.010556522169862555)**2,19.0,I.27_seed0,358.65804610890336,9.872426990580606e-05,0.0076046140289065,sin(sin(sin(x0**(1/4)*(1.54272872297435*sqrt(x0) - 0.06800333497195163)*exp(-sqrt(x1))))),18.0,1.5428853264244013,3.8212815211025775,curriculum,curriculum
I.6.2,0,I.6_seed0,307.9786325134337,0.0002462980228151,0.0124079915742033,0.48189791637647517*exp(-sqrt(x1) - 0.9613686701505032*log(x1 - 0.4130018106186052)/x0**2),15.0,I.6_seed0,387.3109253088478,0.0002584562438062,0.0139470398513736,0.2282702453871268*sqrt(x0*x1)/(x0 + 1.3477549646726725*x1*(x1 - 1.0498044809969813)),16.0,0.7951715595625057,0.9529583003604406,baseline,baseline
II.11.27,0,II.11_seed0,358.6287632994354,0.0006908837370496,0.0171092137440443,x0*x1*(x0 + 2.8033229281018643)*0.35346099047842866,24.0,II.11_seed0,460.1987779079936,6.365835735622847e-06,0.0015221777057027,x0*x1*exp((x0 - 0.06804695003313864)*0.41615937896091754*x1),29.0,0.7792909944909396,108.52993475522071,curriculum,baseline
