dataset_name,seed,baseline_run_id,baseline_runtime_sec,baseline_full_mse,baseline_full_mae,baseline_equation,baseline_complexity,curriculum_run_id,curriculum_runtime_sec,curriculum_full_mse,curriculum_full_mae,curriculum_equation,curriculum_complexity,runtime_speedup,mse_ratio,better_mse,faster_method
I.12.1,0,I.12_seed0,287.7064840570092,1.4098226275270464e-32,3.22901705374079e-17,x0*1.0,3.0,I.12_seed0,279.7192977259401,1.4098226275270464e-32,3.22901705374079e-17,sqrt(x0**2),3.0,1.0285542913771173,1.0,curriculum,curriculum
I.16.6,0,I.16_seed0,314.8573555126786,0.0056456888674621,0.0569711189510835,sin(sqrt(x0 + x1)),21.0,I.16_seed0,347.57839618599974,0.0054125923797561,0.0530722037546552,sin(1.447655985578557*(1/(x0*x1))**(1/4)),8.0,0.9058599699165103,1.0430655906359798,curriculum,baseline
I.18.4,0,I.18_seed0,319.3403958417475,0.0133540501293768,0.0650734724187954,(x1 + 0.9979651940608022)*0.5004806296006478,16.0,I.18_seed0,343.2944375190418,0.0043568867474223,0.0474065570744785,sqrt(0.6275416715508855*x1*(x1 + 0.5700029889514994/x0)*(x0**2)**(1/4)*cos(1) + 0.4024330246711063),28.0,0.9302230416245366,3.0650441252065055,curriculum,baseline
I.27.6,0,I.27_seed0,553.3682365454733,0.0003772532282754,0.0142139028467346,(0.07657402669114882*x0 - 0.06628836938476875*x1 + sin(sin(sin(sin(sqrt(x0))))) + 0.010556522169862555)**2,19.0,I.27_seed0,521.06182110589,8.722362713250919e-05,0.0059959897296969,sin(sin(sin(sin(1.429808048116144*x0**0.8129308674256011*(0.291773956057324 + 0.9779546177090061*exp(-0.4611944502890715*x1))*exp(-0.8129308674256011*x1**(1/4)))))),24.0,1.0620011179691058,4.325126581840962,curriculum,curriculum
I.6.2,0,I.6_seed0,307.9786325134337,0.0002462980228151,0.0124079915742033,0.48189791637647517*exp(-sqrt(x1) - 0.9613686701505032*log(x1 - 0.4130018106186052)/x0**2),15.0,I.6_seed0,400.3808260720689,0.0005073768669275,0.0174162676624202,sin(0.20856985954458815/x1),20.0,0.7692142391903585,0.48543408040377606,baseline,baseline
II.11.27,0,II.11_seed0,358.6287632994354,0.0006908837370496,0.0171092137440443,x0*x1*(x0 + 2.8033229281018643)*0.35346099047842866,24.0,II.11_seed0,402.2639316681307,3.765000904948383e-05,0.0038705311590421,x1*(x1*0.435879571317101*x0*x0 + x0),11.0,0.8915260232560585,18.350161248077356,curriculum,baseline
