dataset_name,seed,baseline_run_id,baseline_runtime_sec,baseline_full_mse,baseline_full_mae,baseline_equation,baseline_complexity,curriculum_run_id,curriculum_runtime_sec,curriculum_full_mse,curriculum_full_mae,curriculum_equation,curriculum_complexity,runtime_speedup,mse_ratio,better_mse,faster_method
I.12.1,0,I.12_seed0,383.849814388901,1.4098226275270464e-32,3.22901705374079e-17,sqrt(x0**2),3.0,I.12_seed0,197.411367546767,1.4098226275270464e-32,3.22901705374079e-17,x0 - 3.1435738556824286e-17,3.0,1.9444159632700306,1.0,curriculum,curriculum
I.16.6,0,I.16_seed0,430.03299632295966,0.0057515127581257,0.0535166680199362,sqrt(sin(sqrt(x0 + 1.136726968413053*x1))**2),27.0,I.16_seed0,514.7438185848296,0.0001730711196936,0.0070799017307295,sqrt(exp((0.012389230600524895 - log(x0**2))*log(sqrt(x1)*cos(0.11130692072160156*x1)))),27.0,0.8354311033889383,33.23207689594895,curriculum,baseline
I.18.4,0,I.18_seed0,463.64910731092095,0.0084037080947696,0.0586351267241616,x1**2*(0.18702394977489326*log(0.7722455799544533*x1)/sqrt(-0.12464275128103598*x0*x1 + 0.7046333501873428*x1) + 1.0525937499074682/x1)**2,28.0,I.18_seed0,392.5333007350564,7.576425949123108e-08,0.0002617580669335,(x0*x1 + 1.0002405699654935)/(x0 + 0.9997418752996996),9.0,1.1811713972870412,110919.16097645277,curriculum,curriculum
I.27.6,0,I.27_seed0,596.3732441551983,0.0002780770029465,0.012970205918985,sqrt(exp(-0.3347205081493139*x1 - sqrt((x1 + 1.2094101931521692)/(exp(x0) - 1.112777647537943)) + 0.3347205081493139*exp(-2*x1**2)*cos(x0/cos(x0)))),26.0,I.27_seed0,387.1573784109205,0.0002914199766572,0.0142772342818619,sin(sin(sin(0.06566433517771501 - (-0.5316987672841865)*x0/x1))),27.0,1.5403897159418738,0.9542139359705066,baseline,curriculum
I.6.2,0,I.6_seed0,558.2589648030698,0.0001417110021663,0.0094051327896413,sin(-(-1*6.410106079816448 + (0.5293062513779667 - x1)*0.5896470623570075/(x0*2.352409415679772)) + (0.584169737545781 - 0.6141914460890668*x1)/((x0*1.6298644603951218))),24.0,I.6_seed0,380.965750368312,0.0001202819312041,0.007876042346345,-sin(sin(sin(sin(sin(sin((-x0 + x1)/sqrt(x0))) - 1.5089956843157604)*sin(sin(sin(sin(0.23383470446768603/x1))))))),25.0,1.465378355569637,1.178157024481409,curriculum,curriculum
II.11.27,0,II.11_seed0,307.4807962216437,0.0001924017094977,0.0108939026507388,x0*x1*sqrt(x0 + x1),13.0,II.11_seed0,383.2108089700341,7.238832876242919e-05,0.0065053137660445,x0*x1*((x0 + x1)*0.37561072498494735 + 0.6763779205383098),11.0,0.8023802800554295,2.6579106437053133,curriculum,baseline
